ChunkIndex,PageNumber,SectionName,WordCount,ChunkChecksum,ChunkText
1,2,Introduction,176,8cb9f52fe10420e3f6c1be760ea5f4a8e7ef340ef11ad6c1933fd5a14bf67b3f,"Introduction People working together have the power to create a society where everyone has what they need to thrive. Rosa Parks was a community organizer who brought people together to build collective power and change the rules for a better society. In 1955, after decades of working toward racial justice, Parks made a strategic decision not to give her seat to a white passenger on a segregated bus in Montgomery, Alabama. Her action, and the Black women who refused to give up their seats before her, led to a 13-month bus boycott and a ruling from the U.S. Supreme Court ordering integration of the bus system. Building power to change societal rules required organizing, commitment and time. The boycott disrupted city life and residents that used the alternative carpool system encountered violence and police harassment, including arrests. The boycott was successful because Black residents spent decades organizing to challenge injustice. Rosa Parks’ action, the organized community members’ perseverance and the legal action that followed changed societal rules and restructured community conditions to better support everyone’s health."
2,2,Introduction,144,0a4bd5f41f2b26ef547d08d8afa4621ad6f9f101a53547bba0043c2d48218361,"Community conditions, such as access to transportation, safe housing, jobs that pay a living wage and well-resourced schools, are known as the social determinants of health. They are among the factors that make up a healthy community. But as the Montgomery bus boycott reminds us, the community conditions needed to create healthy communities are not available to everyone. In fact, people wielding power have made decisions to build wealth for a few by exploiting the energy and labor of those pushed to the edges of society. As a result, those in power have divested from communities, robbing them of opportunities to live long and live well. Written and unwritten rules — and how they are applied — shape conditions for healthy communities. Together, power and rules are the structural determinants of health. People with power create, reinforce and modify these rules for their benefit."
3,2,Introduction,88,b865228c2cd68224d2c2c998ba3d56a42dc3594c16e6574fbac333ebd39d19a6,"However, with collective action, everyone can influence the rules, not just those with money and power — just as those in Montgomery showed us. Power is always being contested. As we work toward a world where everyone has what they need to thrive, we must continue to uncover and challenge the power and rules that shape health and well-being. The new University of Wisconsin Population Health Institute Model of Health helps us name, confront, and take action to change these structures to create healthier and more equitable communities."
4,3,Page 3,118,31b459384c1c4d5202e4e04ed7fc3120285c0a1db0e801078ccd0c41475edcb8,"Public health’s roots Public health is rooted in community organizing, a process where people with a common identity or purpose unite to build relationships, identify shared issues, collectively analyze those issues, develop goals and implement strategies to reach those goals. A coalition of physicians, advocates, scientists and reformers organized around urbanization and industrialization in the late 19th and early 20th centuries. Their focus was broad and their mandate was clear: There was a moral need to address the social problems that made some people more susceptible to disease. The coalition used its power to challenge corporate interests and to create systems for clean water, less crowded housing, indoor plumbing and safer working conditions. Together, they transformed communities’ health."
5,3,Page 3,68,16701b420ed01b73741dc02d1a536e4a03613533d5b16c3db9fbe2b4f1c2b5f6,"Public health moved away from social, political and economic reform in the 20th century and increased focus on individual health. Advancements in science and health care, including vaccines, antibiotics and clinical interventions, became a way for public health to fight disease. But public health does not have to pick science over reform. We can simultaneously share scientific knowledge and expertise while building power to improve health for all."
6,5,Page 5,147,c749b59340a7046160806332986861eeb03e388e5c1248b4d85159bce389a923,"The use of power and rules in ways that prevent us from creating the conditions needed for communities to thrive are among the greatest threats to the public’s health today. Public health is rooted in a history of social, political and economic reform. To achieve health and equity, we must return to those roots. We must grow power to change the rules and how they are applied so that all people and places thrive. The new University of Wisconsin Population Health Institute (UWPHI) Model of Health expands on two decades of work by naming how power is applied and reinforced through society’s rules to shape our communities, and ultimately our health. The model broadens our understanding of how well and how long we live by examining who and what influences our conditions and how this shapes our daily lives. We create opportunities for health as a society."
7,5,Page 5,141,9c6e9e8fbe195f882588393596cbbacf241d32944889d3280449f92432b0da9e,"Population health and well-being represent how well and how long we live, including our physical, mental, and social well-being. We see unfair differences in these outcomes because not everyone has the same opportunity to be healthy. Community conditions encompass where we live, learn, work and play. For example, affordable housing, clean water and opportunities to build wealth impact health. Clear patterns of advantage and disadvantage exist in the conditions of daily living that influence how well and how long we live. Societal rules are set and held by people who wield power and shape the conditions that affect our health. Written rules are formalized in policies and laws while worldviews and norms are unwritten rules. The rules are applied by those wielding power to influence the conditions for health and well-being and the ways these conditions are distributed fairly or unfairly."
8,5,Page 5,132,6d3a6d98a68cc3aa8c1dd08dd774f9be251a244446091641796898a04ccf2315,"Power is our ability to create change. People and groups who hold power influence societal rules and determine how they are applied. When power is concentrated in the hands of a few, it advantages their shared interests and often disadvantages interests aligned with good health for all individuals, groups, communities and even entire regions of the country. We can grow community power so that people who have been most burdened by societal rules have a say in creating change. Everyone has a role to play and everyone should have a say in creating societal rules and in determining how they are applied. That means including everyone in setting agendas, making decisions, allocating resources, and shifting worldviews to determine how well societal rules shape community conditions to promote and preserve health for all."
9,5,Page 5,60,7f952977329de25cc9fc92ed23881706f8b6f53e4e7c5272a6948f768d04b5b0,We can nurture our communities so that everyone realizes health and well-being. We can work across our differences and build solidarity by understanding the root causes of our problems and addressing them together. We can change the rules to allow every community the opportunity to thrive today and in the future. University of Wisconsin Population Health Institute Model of Health
10,6,Structural racism:,110,49d18e647ba2ec842bccdebfb1e038df1a9da867890d130af3d7c5017e3ff468,"Structural racism: How rules and power can hold unfair conditions in place Community conditions that support health and well-being are often distributed unfairly. These patterns harm racialized groups, women, queer communities and people with less income and wealth. Society’s rules and the unwillingness of those with power to change them often hold unfair conditions in place, weaving racism, sexism and classism into the fabric of our communities. Structural racism is embedded in society’s unwritten rules through a worldview that white people are superior. It is also reinforced through governance and institutional practices that apply regulations in an unequal manner across communities. Structural racism is also present in society’s written rules."
