ClusterID,Rank,ChunkIndex,PageNumber,SectionName,Distance,ChunkText
0,1,28,16,Glossary of terms and technical notes,0.747084,"Unwritten rules are made up of worldviews, culture and norms (County Health Rankings & Roadmaps). Narratives: Values-based themes of stories that we use to understand our world. A narrative communicates and reinforces a worldview and engages people in considering their own understanding of the world around them (County Health Rankings & Roadmaps — adapted from Grassroots Power Project). Structural determinants of health: The written and unwritten rules that create, maintain or eliminate durable and hierarchical patterns of advantage between socially constructed groups in the conditions that affect health. The manifestation of power relations in which people and groups with more power based on current social structures work to maintain their advantage by reinforcing or modifying these rules (Heller et al. 2024)."
0,2,21,13,Page 13,0.7788,"The gender pay gap exists because of institutional practices and worldviews, culture and norms. It reflects systemic, ingrained patterns within workplaces and society that devalue and discriminate against women, especially women of color. These patterns reflect narratives, or value-based themes of stories, which help us frame the stories we tell and the decisions we make. In this case, the worldview that dominates gender pay gap is not sufficiently challenged by corporate leadership and elected officials’ values of patriarchy, or a social system in which positions of authority are primarily held by men. Worldviews, and the narratives formed because of them, influence institutional practices. Based on what and who leaders value, leadership of organizations and companies uphold practices such as segregating women into low-wage jobs, devaluing jobs typically held by women, and exercising biased hiring, promotion and layoff practices that create persistent inequities in pay. This, in turn, limits what families can afford to support healthy and dignified lives. We can change society’s written and unwritten rules so everyone who works earns a fair wage. SOCIETAL RULES AND POWER"
0,3,23,14,A call to action:,0.82495,"l Narratives for Health: Explore ways to build power by influencing worldviews, reimagining what is possible and creating a world where everyone thrives through shifting narratives. Check out the recently published resource, Narratives for Health – In Action, to find ways to advance and embed narratives. l Webinars: Learn about structural determinants of health in public health practice. Join our post-webinar discussions to build a learning community with others."
1,1,19,11,Page 11,0.560823,"Half of all counties in the U.S. operate with a public school funding deficit, needing to spend, on average, more than an additional $3,000 per student annually for their students to achieve national average test scores. And deficits are particularly large in the Black Belt Region (see map on top left). Schools and districts with more funding can provide students with higher- quality, broader and deeper opportunities. Reductions in class sizes and increases in instructional time and teachers’ salaries can lead to better educational outcomes for students, like third grade reading scores (see map bottom left). We can use our power to ensure that every child attends well-resourced schools and receives quality education. Third Grade Reading Scores Among U.S. Counties, Black Belt Region Highlighted, 2019 Average grade level performance for 3rd third graders on English Language Arts standardized tests School Funding Adequacy Among U.S. Counties, Black Belt Region Highlighted, 2022 Deficit in per-pupil spending necessary to achieve national average test scores Data source: School Finance Indicators Database Data source: Standford Education Data Archive"
1,2,18,10,Education,0.676913,"Schools are primarily funded through tax revenue. Schools in communities that have experienced disinvestment are more likely to be underfunded, which compound on top of other forms of disadvantage. The map below shows the distribution of school funding adequacy across the U.S. Counties in blue have adequate per-pupil spending to achieve national average test scores, while schools in orange counties are facing deficits. School Funding Adequacy Among U.S. Counties, 2022 Deficit in per-pupil spending necessary to achieve national average test scores Data source: School Finance Indicators Database"
1,3,17,10,Education,0.837461,"Education Schools play an important role in children’s physical, mental and social well-being. Academic performance at younger ages, like reading and math scores, are a predictor of a high school graduation rates, which are strongly correlated with higher life expectancies and improved quality of life. Most K-12 education funding decisions are made by local and state elected officials, and informed by school boards and community advocates. Only a modest percentage of funding comes from the federal government. Budgets shape the ability of schools to provide quality services and education. Adequate funding for teachers’ salaries, programs and equipment is an example of how societal rules around the distribution of resources can impact the health of a community."
2,1,9,5,Page 5,0.722731,We can nurture our communities so that everyone realizes health and well-being. We can work across our differences and build solidarity by understanding the root causes of our problems and addressing them together. We can change the rules to allow every community the opportunity to thrive today and in the future. University of Wisconsin Population Health Institute Model of Health
2,2,3,2,Introduction,0.778585,"However, with collective action, everyone can influence the rules, not just those with money and power — just as those in Montgomery showed us. Power is always being contested. As we work toward a world where everyone has what they need to thrive, we must continue to uncover and challenge the power and rules that shape health and well-being. The new University of Wisconsin Population Health Institute Model of Health helps us name, confront, and take action to change these structures to create healthier and more equitable communities."
2,3,24,15,About County Health Rankings & Roadmaps,0.780634,"About County Health Rankings & Roadmaps County Health Rankings & Roadmaps (CHR&R), a program of the University of Wisconsin Population Health Institute, draws attention to why there are differences in health within and across communities. The program seeks to grow a shared understanding of health, equity and the power of communities to improve health for all. This work is rooted in a long-term vision for all people and places to have what they need to thrive. We recognize that we solve problems better when we include everyone. CHR&R is committed to creating resources and tools that support community-led efforts to accurately diagnose core problems, understand and account for historical context and implement evidence-informed solutions."
3,1,15,8,"Severe Housing Cost Burden Among Renters, 2019-2023",0.640323,"This burden can force people to choose between paying for food, transportation or medical care. The map on the top right shows the percentage of renters experiencing severe housing cost burden — a problem that touches counties in every region of the country. Across the U.S., there are nearly 10 million low-income renter households that spend more than half of their income on housing costs, as shown in the map on bottom right. Many cost-burdened renters are just one unforeseen event — an illness, job loss, financial crisis, or even a drop in hours at work — from losing their housing.  For low-income renters, the risk of homelessness is especially high. Data source: U.S. Census, American Community Survey Data source: U.S. Census, American Community Survey. * See technical notes."
